experiment_name,base_learner_type,ada_n_estimators,ada_learning_rate,base_svm_C,base_svm_max_iter,training_time_seconds,test_accuracy,test_f1_micro,test_f1_macro,test_f1_weighted
Baseline Decision Stump,Decision Stump,1,N/A,N/A,N/A,0.1505,0.1972,0.1972,0.07112245843208231,0.07807181862254055
Baseline Linear SVM (C=0.01),Linear SVM (C=0.01),1,N/A,0.01,1000,2.4848,0.914,0.914,0.9125132845065871,0.9136948806819042
"AdaBoost Stumps (N=10, LR=1.0)",Decision Stump,10,1.0,N/A,N/A,12.8281,0.76,0.76,0.754452644178094,0.7574705473669826
"AdaBoost Stumps (N=20, LR=1.0)",Decision Stump,20,1.0,N/A,N/A,39.8877,0.817,0.817,0.8123807164214313,0.8150567570705407
"AdaBoost Stumps (N=50, LR=1.0)",Decision Stump,50,1.0,N/A,N/A,106.19,0.8589,0.8589,0.8560887459573877,0.8581323944679552
"AdaBoost Stumps (N=70, LR=1.0)",Decision Stump,70,1.0,N/A,N/A,149.1843,0.874,0.874,0.8713683475949903,0.8733468729390257
"AdaBoost Stumps (N=100, LR=1.0)",Decision Stump,100,1.0,N/A,N/A,209.6282,0.8784,0.8784,0.8761473780320932,0.8779429833505492
AdaBoost SVM (C0.1_N10_LR0.5_varyN),Linear SVM,10,0.5,0.1,50000,3095.3501,0.8706,0.8706,0.8685078972434065,0.8699140441813341
AdaBoost SVM (C0.1_N20_LR0.5_varyN),Linear SVM,20,0.5,0.1,50000,7458.8871,0.8771,0.8771,0.8753288664663593,0.8765650234067718
AdaBoost SVM (C0.1_N40_LR0.5_varyN),Linear SVM,40,0.5,0.1,50000,18000,0.8813,0.8813,0.8796917270932806,0.8809230108836292
AdaBoost SVM (C0.1_N80_LR0.5_varyN),Linear SVM,80,0.5,0.1,50000,19256.5624,0.8839,0.8839,0.8819904994026689,0.8834018542381274
AdaBoost SVM (C0.1_N10_LR0.05_varyLR),Linear SVM,10,0.05,0.1,50000,471.7686,0.4443,0.4443,0.4584931393786911,0.4686076853139438
AdaBoost SVM (C0.1_N10_LR0.1_varyLR),Linear SVM,10,0.1,0.1,50000,600.5897,0.6944,0.6944,0.7238377131377907,0.7291978004333247
AdaBoost SVM (C0.1_N10_LR0.2_varyLR),Linear SVM,10,0.2,0.1,50000,976.4148,0.8588,0.8588,0.8590515048840082,0.8608927748824923
AdaBoost SVM (C0.1_N10_LR0.5_varyLR),Linear SVM,10,0.5,0.1,50000,1674.0725,0.8706,0.8706,0.8685078972434065,0.8699140441813341
AdaBoost SVM (C0.1_N10_LR1.0_varyLR),Linear SVM,10,1.0,0.1,50000,1886.3734,0.8481,0.8481,0.8440497598434569,0.8458491813713177
AdaBoost SVM (C0.1_N10_LR2.0_varyLR),Linear SVM,10,2.0,0.1,50000,1462.7941,0.1918,0.1918,0.1157122531689129,0.11926786374028593
